client_siren,salaries_distincts_2020,salaries_distincts_2021
349406587,2,
349409896,1,
349425553,5,
349436337,6,
349466367,16,
349467449,1,
349471904,1,
349506014,2,
349549832,4,
349554527,1,
349581231,1,
349597872,4,
349612143,5,
349614818,1,
349633826,2,
349635474,2,
349653683,24,
349668970,1,
349685099,1,
349860338,2,
349871525,1,
349876847,7,
349885087,7,
349896233,4,
349961789,3,
350014148,1,
350050589,3,
350063384,1,
350083796,4,
350089439,4,
350093951,1,
350108627,3,
350110334,3,
350117628,3,
350120044,2,
350155024,2,
350155958,2,
350193140,3,
350219382,6,
350222105,3,
350283057,4,
350290946,1,
350292322,2,
350299699,3,
350332045,3,
350347175,1,
350357927,2,
350372991,2,
350399101,3,
350405494,1,
350409017,1,
350484309,1,
350488433,8,
350490678,1,
350506457,19,
350506549,2,
350529053,4,
350544896,1,
350618443,3,
350624102,1,
350657300,5,
350667994,3,
350684403,8,
350869251,1,
350880290,2,
350888996,4,
350925384,2,
350941142,3,
350952909,4,
350974911,6,
350996369,1,
351002050,1,
351164488,8,
351257407,1,
351264197,1,
351264999,2,
351270483,3,
351277140,1,
351347232,3,
351404207,4,
351455209,25,
351463344,1,
351490560,2,
351524921,1,
351547005,49,
351574017,19,
351584388,4,
351604293,2,
351655345,3,
351690243,2,
351755012,1,
351780432,2,
351782529,1,
351783758,1,
351911102,3,
351984026,2,
352003600,2,
352036230,3,
352041222,3,
352041297,1,
352067110,11,
352085021,13,
352134456,1,
352140404,2,
352157234,4,
352191787,1,
352298665,3,
352320279,2,
352340517,6,
352371777,13,
352385975,5,
352405294,1,
352415798,1,
352418362,2,
352448542,5,
352473177,1,
352481071,1,
352512479,6,
352553341,1,
352562144,1,
352600209,3,
352614796,1,
352645501,1,
352672729,1,
352686661,5,
352714745,9,
352721419,6,
352757074,2,
352768311,1,
352773758,10,
352801757,25,
352848725,5,
352849137,2,
352863419,4,
352870471,3,
352876197,16,
352946388,1,
352960777,1,
352978720,2,
352991681,2,
353003528,3,
353066590,18,
353068927,1,
353093578,4,
353103294,1,
353113418,10,
353123045,4,
353143522,1,
353169105,2,
353186455,1,
353248768,2,
353314073,20,
353334055,3,
353361348,15,
353366966,1,
353378268,3,
353413404,2,
353464704,2,
353471170,1,
353494255,1,
353543358,3,
353578214,6,
353579634,1,
353609118,5,
353621048,4,
353631096,15,
353649510,2,
353651375,1,
353661838,2,
353708746,2,
353775455,1,
353782626,2,
353869951,1,
353926447,1,
353951221,4,
353969702,8,
353981251,2,
353990500,5,
354026098,1,
354032039,1,
354047607,4,
354061855,2,
354063828,11,
354094914,1,
354200222,1,
357502327,1,
357800705,2,
358200913,2,
358501922,2,
361200488,1,
365200401,1,
366500585,1,
367200458,1,
368800553,5,
369200167,9,
370500928,2,
372500165,1,
373200872,1,
375130034,6,
375781655,1,
375880051,3,
375880804,1,
376420162,4,
376450029,1,
377550249,3,
377623053,9,
377658083,2,
377702600,2,
377715545,7,
377729710,2,
377745476,3,
377976592,26,
377981642,1,
378006027,2,
378035174,2,
378047500,2,
378093421,8,
378097505,1,
378109797,2,
378158430,1,
378174643,1,
378195291,1,
378232623,1,
378234595,2,
378352587,4,
378418008,2,
378431316,5,
378455802,4,
378592760,2,
378613780,1,
378615363,1,
378626360,2,
378643357,3,
378657613,1,
378688394,4,
378703581,1,
378714497,5,
378729800,1,
378735534,4,
378746572,1,
378752935,1,
378783021,1,
378806657,10,
378807820,1,
378820021,1,
378830715,69,
378837496,3,
378846695,1,
378877153,1,
378881304,10,
378909246,2,
378931513,23,
378932354,1,
378955207,1,
378956239,2,
378965750,1,
378966485,1,
378992895,12,
379098213,2,
379099187,5,
379116973,1,
379124811,1,
379127384,2,
379134166,1,
379140270,30,
379155369,2,
379185903,5,
379196843,2,
379216526,3,
379231525,4,
379288350,1,
379313083,2,
379340151,2,
379344641,5,
379433824,5,
379474745,1,
379478837,1,
379488752,5,
379494131,5,
379520414,4,
379535693,5,
379538440,2,
379560642,8,
379568314,61,
379570633,4,
379747405,1,
379750508,1,
379754344,2,
379779820,1,
379789787,2,
379836554,4,
379838386,1,
379840408,3,
379902091,6,
379946585,1,
379974124,6,
380067843,1,
380141358,2,
380141549,4,
380160796,1,
380172635,22,
380259531,1,
380292235,2,
380297754,3,
380316638,3,
380318915,1,
380325068,1,
380337873,3,
380338681,1,
380355404,2,
380356592,6,
380461632,1,
380521260,11,
380523316,1,
380525477,6,
380544932,27,
380552976,12,
380601567,5,
380622043,4,
380634790,19,
380676452,28,
380715094,1,
380720599,1,
380730994,2,
380811604,4,
380835595,1,
380841718,4,
380912865,2,
380926071,50,
380947861,2,
380952879,1,
380974469,10,
380984369,6,
381006501,9,
381007590,2,
381028166,10,
381033919,1,
381043223,15,
381062405,2,
381078088,9,
381080043,2,
381085323,1,
381087576,1,
381089390,3,
381090687,2,
381121318,30,
381144716,1,
381184241,3,
381215110,3,
381217231,6,
381234046,2,
381264688,2,
381266832,5,
381287101,3,
381293463,7,
381305812,1,
381307636,2,
381319755,1,
381320852,26,
381322395,6,
381349141,3,
381374503,2,
381414309,8,
381427582,1,
381453208,2,
381479393,1,
381506989,2,
381536267,3,
381539238,2,
381554260,16,
381559079,1,
381570035,26,
381588409,1,
381622059,2,
381635473,2,
381685924,1,
381718758,2,
381753490,2,
381756295,1,
381775311,4,
381783489,1,
381853555,2,
381893205,6,
381930916,13,
381954593,1,
381972736,27,
381993500,1,
382003630,1,
382017143,6,
382031623,2,
382044691,1,
382061018,1,
382100576,1,
382101665,1,
382104172,1,
382119238,3,
