numero_de_dossier,type_de_dossier,etat_du_dossier,accord_signe,date_de_jugement,date_d_enregistrement,situation_juridique,siret,nombre_de_ruptures_de_contrats_en_debut_de_procedure,nombre_de_ruptures_de_contrats_en_fin_de_procedure
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300962,5,5
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301283,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301887,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301580,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301598,2,2
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301077,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300558,5,5
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301622,2,2
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300814,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300418,5,5
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300533,7,7
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300038,2,2
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300087,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300095,4,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300145,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300111,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300178,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300186,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300236,4,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300244,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300319,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300327,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300343,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300392,4,4
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301663,2,2
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300897,6,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301564,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302471,3,3
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301820,3,3
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301713,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301390,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301291,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301127,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301614,2,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708302331,1,0
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301630,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708300475,1,1
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301010,3,3
3117,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,11/06/2015,In bonis,32305708301465,1,1
